model,forecast_date,target,location_name,point,quantile_0.025,quantile_0.975
CU-select,5/25/2020,1 day ahead inc hosp,AK,0,0,0
CU-select,5/25/2020,1 day ahead inc hosp,AL,41,27,51
CU-select,5/25/2020,1 day ahead inc hosp,Alabama,41,27,51
CU-select,5/25/2020,1 day ahead inc hosp,Alaska,0,0,0
CU-select,5/25/2020,1 day ahead inc hosp,AR,18,11,27
CU-select,5/25/2020,1 day ahead inc hosp,Arizona,52,38,64
CU-select,5/25/2020,1 day ahead inc hosp,Arkansas,18,11,27
CU-select,5/25/2020,1 day ahead inc hosp,AZ,52,38,64
CU-select,5/25/2020,1 day ahead inc hosp,CA,289,256,318
CU-select,5/25/2020,1 day ahead inc hosp,California,289,256,318
CU-select,5/25/2020,1 day ahead inc hosp,CO,61,48,75
CU-select,5/25/2020,1 day ahead inc hosp,Colorado,61,48,75
CU-select,5/25/2020,1 day ahead inc hosp,Connecticut,136,120,162
CU-select,5/25/2020,1 day ahead inc hosp,CT,136,120,162
CU-select,5/25/2020,1 day ahead inc hosp,DE,25,17,36
CU-select,5/25/2020,1 day ahead inc hosp,Delaware,25,17,36
CU-select,5/25/2020,1 day ahead inc hosp,FL,131,109,157
CU-select,5/25/2020,1 day ahead inc hosp,Florida,131,109,157
CU-select,5/25/2020,1 day ahead inc hosp,GA,83,67,100
CU-select,5/25/2020,1 day ahead inc hosp,Georgia,83,67,100
CU-select,5/25/2020,1 day ahead inc hosp,Hawaii,0,0,0
CU-select,5/25/2020,1 day ahead inc hosp,HI,0,0,0
CU-select,5/25/2020,1 day ahead inc hosp,IA,48,38,60
CU-select,5/25/2020,1 day ahead inc hosp,ID,1,0,4
CU-select,5/25/2020,1 day ahead inc hosp,Idaho,1,0,4
CU-select,5/25/2020,1 day ahead inc hosp,IL,330,291,366
CU-select,5/25/2020,1 day ahead inc hosp,Illinois,330,291,366
CU-select,5/25/2020,1 day ahead inc hosp,IN,90,77,106
CU-select,5/25/2020,1 day ahead inc hosp,Indiana,90,77,106
CU-select,5/25/2020,1 day ahead inc hosp,Iowa,48,38,60
CU-select,5/25/2020,1 day ahead inc hosp,Kansas,11,5,18
CU-select,5/25/2020,1 day ahead inc hosp,Kentucky,35,24,49
CU-select,5/25/2020,1 day ahead inc hosp,KS,11,5,18
CU-select,5/25/2020,1 day ahead inc hosp,KY,35,24,49
CU-select,5/25/2020,1 day ahead inc hosp,LA,59,50,74
CU-select,5/25/2020,1 day ahead inc hosp,Louisiana,59,50,74
CU-select,5/25/2020,1 day ahead inc hosp,MA,104,85,126
CU-select,5/25/2020,1 day ahead inc hosp,Maine,5,1,10
CU-select,5/25/2020,1 day ahead inc hosp,Maryland,187,164,216
CU-select,5/25/2020,1 day ahead inc hosp,Massachusetts,104,85,126
CU-select,5/25/2020,1 day ahead inc hosp,MD,187,164,216
CU-select,5/25/2020,1 day ahead inc hosp,ME,5,1,10
CU-select,5/25/2020,1 day ahead inc hosp,MI,64,48,81
CU-select,5/25/2020,1 day ahead inc hosp,Michigan,64,48,81
CU-select,5/25/2020,1 day ahead inc hosp,Minnesota,98,82,118
CU-select,5/25/2020,1 day ahead inc hosp,Mississippi,39,28,49
CU-select,5/25/2020,1 day ahead inc hosp,Missouri,21,15,28
CU-select,5/25/2020,1 day ahead inc hosp,MN,98,82,118
CU-select,5/25/2020,1 day ahead inc hosp,MO,21,15,28
CU-select,5/25/2020,1 day ahead inc hosp,Montana,0,0,0
CU-select,5/25/2020,1 day ahead inc hosp,MS,39,28,49
CU-select,5/25/2020,1 day ahead inc hosp,MT,0,0,0
CU-select,5/25/2020,1 day ahead inc hosp,National,3500,3350,3610
CU-select,5/25/2020,1 day ahead inc hosp,NC,99,83,117
CU-select,5/25/2020,1 day ahead inc hosp,ND,4,0,8
CU-select,5/25/2020,1 day ahead inc hosp,NE,39,29,51
CU-select,5/25/2020,1 day ahead inc hosp,Nebraska,39,29,51
CU-select,5/25/2020,1 day ahead inc hosp,Nevada,20,11,29
CU-select,5/25/2020,1 day ahead inc hosp,New Hampshire,9,4,14
CU-select,5/25/2020,1 day ahead inc hosp,New Jersey,162,140,189
CU-select,5/25/2020,1 day ahead inc hosp,New Mexico,18,11,28
CU-select,5/25/2020,1 day ahead inc hosp,New York,406,368,442
CU-select,5/25/2020,1 day ahead inc hosp,NH,9,4,14
CU-select,5/25/2020,1 day ahead inc hosp,NJ,162,140,189
CU-select,5/25/2020,1 day ahead inc hosp,NM,18,11,28
CU-select,5/25/2020,1 day ahead inc hosp,North Carolina,99,83,117
CU-select,5/25/2020,1 day ahead inc hosp,North Dakota,4,0,8
CU-select,5/25/2020,1 day ahead inc hosp,NV,20,11,29
CU-select,5/25/2020,1 day ahead inc hosp,NY,406,368,442
CU-select,5/25/2020,1 day ahead inc hosp,OH,96,80,114
CU-select,5/25/2020,1 day ahead inc hosp,Ohio,96,80,114
CU-select,5/25/2020,1 day ahead inc hosp,OK,17,10,24
CU-select,5/25/2020,1 day ahead inc hosp,Oklahoma,17,10,24
CU-select,5/25/2020,1 day ahead inc hosp,OR,7,3,13
CU-select,5/25/2020,1 day ahead inc hosp,Oregon,7,3,13
CU-select,5/25/2020,1 day ahead inc hosp,PA,116,101,137
