model,forecast_date,target,location_name,point,quantile_0.025,quantile_0.975
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Alabama,64,59,117
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Alaska,2,1,2
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Arizona,135,115,319
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Arkansas,18,17,19
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,California,743,706,1516
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Colorado,71,61,123
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Connecticut,75,47,164
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Delaware,30,29,58
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,District of Columbia,46,42,102
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Florida,75,72,182
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Georgia,129,118,283
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Hawaii,0,0,0
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Idaho,4,4,5
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Illinois,488,430,851
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Indiana,140,112,285
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Iowa,54,50,125
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Kansas,13,12,15
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Kentucky,72,64,141
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Louisiana,121,105,269
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Maine,11,10,48
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Maryland,182,148,319
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Massachusetts,235,182,506
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Michigan,106,79,248
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Minnesota,70,37,123
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Mississippi,81,68,301
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Missouri,109,97,312
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Montana,0,0,1
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,National,5267,4514,10858
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Nebraska,29,26,32
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Nevada,59,55,115
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,New Hampshire,16,13,82
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,New Jersey,291,230,592
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,New Mexico,33,31,105
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,New York,449,345,882
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,North Carolina,113,105,285
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,North Dakota,7,5,12
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Ohio,113,86,308
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Oklahoma,27,24,55
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Oregon,16,14,20
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Pennsylvania,172,131,432
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Puerto Rico,20,17,30
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Rhode Island,29,23,117
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,South Carolina,82,71,251
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,South Dakota,14,12,17
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Tennessee,44,42,45
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Texas,271,258,312
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Utah,24,21,25
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Vermont,3,2,5
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Virginia,210,188,407
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Washington,49,45,90
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,West Virginia,5,2,5
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Wisconsin,114,105,198
COVID19SimCons-COVID19Sim,2020-06-01,1 day ahead inc hosp,Wyoming,2,1,2
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Alabama,26,0,52
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Alaska,2,0,5
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Arizona,119,99,140
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Arkansas,13,6,19
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,California,518,474,562
