model,forecast_date,target,target_end_date,location_name,point,quantile_0.025,quantile_0.975
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Alabama,133,70,154
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Alaska,2,1,2
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Arizona,260,101,364
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Arkansas,31,28,55
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,California,717,540,772
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Colorado,36,27,40
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Connecticut,35,24,43
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Delaware,11,4,17
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,District of Columbia,34,13,57
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Florida,106,43,119
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Georgia,112,70,126
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Hawaii,1,0,1
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Idaho,6,5,7
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Illinois,269,230,294
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Indiana,114,84,128
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Iowa,38,18,54
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Kansas,11,10,12
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Kentucky,69,49,171
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Louisiana,82,41,99
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Maine,6,4,20
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Maryland,122,105,137
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Massachusetts,146,124,173
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Michigan,90,66,100
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Minnesota,55,21,83
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Mississippi,95,72,125
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Missouri,99,58,122
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Montana,0,0,1
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,National,4498,3225,5597
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Nebraska,24,22,25
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Nevada,54,27,83
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,New Hampshire,12,2,14
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,New Jersey,188,142,206
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,New Mexico,27,7,37
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,New York,263,254,449
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,North Carolina,121,81,147
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,North Dakota,5,3,11
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Ohio,81,67,91
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Oklahoma,22,17,35
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Oregon,22,20,55
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Pennsylvania,150,72,171
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Puerto Rico,21,19,41
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Rhode Island,21,6,27
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,South Carolina,95,36,136
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,South Dakota,13,12,15
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Tennessee,67,63,69
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Texas,320,296,336
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Utah,44,42,47
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Vermont,3,2,4
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Virginia,151,132,178
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Washington,34,32,37
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,West Virginia,5,3,14
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Wisconsin,71,58,93
Covid19Sim,2020-06-15,1 day ahead inc hosp,2020-06-15,Wyoming,1,0,1
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Alabama,42,30,55
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Alaska,3,0,6
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Arizona,126,104,148
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Arkansas,34,23,46
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,California,588,541,636
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Colorado,42,29,54
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Connecticut,49,36,63
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Delaware,13,6,20
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,District of Columbia,24,14,34
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Florida,132,110,155
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Georgia,87,69,105
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Hawaii,0,0,2
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Idaho,2,0,5
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Illinois,291,257,324
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Indiana,96,77,116
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Iowa,30,19,41
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Kansas,7,0,15
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Kentucky,55,40,69
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Louisiana,58,43,72
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Maine,5,1,9
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Maryland,127,105,149
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Massachusetts,154,129,178
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Michigan,149,125,173
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Minnesota,68,52,84
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Mississippi,77,60,95
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Missouri,86,68,104
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Montana,3,0,7
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Nebraska,19,10,27
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Nevada,52,38,66
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,New Hampshire,19,10,27
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,New Jersey,158,134,183
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,New Mexico,27,17,37
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,New York,189,162,216
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,North Carolina,84,66,102
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,North Dakota,9,3,15
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Ohio,75,58,92
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Oklahoma,23,14,33
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Oregon,22,13,31
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Pennsylvania,238,208,268
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Rhode Island,22,13,31
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,South Carolina,76,59,93
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,South Dakota,10,4,16
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Tennessee,23,8,37
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Texas,165,140,191
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Utah,28,18,39
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Vermont,4,0,9
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Virginia,126,104,148
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Washington,44,31,57
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,West Virginia,4,0,9
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Wisconsin,20,12,29
CAN,2020-06-15,1 day ahead inc hosp,2020-06-15,Wyoming,1,0,3
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Alabama,70,57,84
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Alaska,2,0,5
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Arizona,168,145,194
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Arkansas,46,33,55
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,California,441,407,476
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Colorado,33,22,44
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Connecticut,51,37,66
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Delaware,8,3,14
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,District of Columbia,10,5,20
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Florida,254,226,286
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Georgia,120,97,136
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Hawaii,1,0,3
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Idaho,1,0,4
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Illinois,120,105,140
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Indiana,60,46,75
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Iowa,42,30,52
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Kansas,5,2,10
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Kentucky,42,34,56
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Louisiana,67,57,82
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Maine,4,1,8
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Maryland,110,93,133
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Massachusetts,42,31,54
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Michigan,79,63,95
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Minnesota,59,46,72
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Mississippi,42,29,54
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Missouri,24,16,35
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Montana,0,0,2
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,National,3213,3144,3342
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Nebraska,25,16,35
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Nevada,29,21,41
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,New Hampshire,4,1,9
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,New Jersey,70,52,89
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,New Mexico,19,11,28
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,New York,182,159,205
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,North Carolina,171,149,197
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,North Dakota,2,0,4
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Ohio,67,56,83
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Oklahoma,19,11,28
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Oregon,21,11,30
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Pennsylvania,71,54,90
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Rhode Island,12,6,19
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,South Carolina,81,65,101
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,South Dakota,3,0,6
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Tennessee,39,28,50
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Texas,254,233,280
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Utah,24,16,35
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Vermont,1,0,4
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Virginia,124,105,145
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Washington,43,34,56
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,West Virginia,1,0,3
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Wisconsin,52,36,66
CU-Select,2020-06-15,1 day ahead inc hosp,2020-06-15,Wyoming,1,0,3
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Alabama,126,67,220
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Alaska,2,0,9
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Arizona,289,61,778
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Arkansas,38,15,80
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,California,1114,308,2847
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Colorado,66,28,139
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Connecticut,141,39,350
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Delaware,36,6,79
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,District of Columbia,19,0,65
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Florida,389,160,726
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Georgia,180,104,310
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Guam,0,0,1
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Hawaii,0,0,2
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Idaho,13,2,35
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Illinois,529,208,1152
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Indiana,125,70,213
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Iowa,90,49,143
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Kansas,30,8,90
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Kentucky,64,21,167
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Louisiana,144,81,248
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Maine,9,0,32
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Maryland,246,120,436
