CBSA,FIPS,NAME,LSAD
10180,,"Abilene, TX",Metropolitan Statistical Area
10180,48059,"Callahan County, TX",County or equivalent
10180,48253,"Jones County, TX",County or equivalent
10180,48441,"Taylor County, TX",County or equivalent
10420,,"Akron, OH",Metropolitan Statistical Area
10420,39133,"Portage County, OH",County or equivalent
10420,39153,"Summit County, OH",County or equivalent
10500,,"Albany, GA",Metropolitan Statistical Area
10500,13095,"Dougherty County, GA",County or equivalent
10500,13177,"Lee County, GA",County or equivalent
10500,13273,"Terrell County, GA",County or equivalent
10500,13321,"Worth County, GA",County or equivalent
10540,,"Albany-Lebanon, OR",Metropolitan Statistical Area
10540,41043,"Linn County, OR",County or equivalent
10580,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area
10580,36001,"Albany County, NY",County or equivalent
10580,36083,"Rensselaer County, NY",County or equivalent
10580,36091,"Saratoga County, NY",County or equivalent
10580,36093,"Schenectady County, NY",County or equivalent
10580,36095,"Schoharie County, NY",County or equivalent
10740,,"Albuquerque, NM",Metropolitan Statistical Area
10740,35001,"Bernalillo County, NM",County or equivalent
10740,35043,"Sandoval County, NM",County or equivalent
10740,35057,"Torrance County, NM",County or equivalent
10740,35061,"Valencia County, NM",County or equivalent
10780,,"Alexandria, LA",Metropolitan Statistical Area
10780,22043,"Grant Parish, LA",County or equivalent
10780,22079,"Rapides Parish, LA",County or equivalent
10900,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area
10900,34041,"Warren County, NJ",County or equivalent
10900,42025,"Carbon County, PA",County or equivalent
10900,42077,"Lehigh County, PA",County or equivalent
10900,42095,"Northampton County, PA",County or equivalent
11020,,"Altoona, PA",Metropolitan Statistical Area
11020,42013,"Blair County, PA",County or equivalent
11100,,"Amarillo, TX",Metropolitan Statistical Area
11100,48011,"Armstrong County, TX",County or equivalent
11100,48065,"Carson County, TX",County or equivalent
11100,48359,"Oldham County, TX",County or equivalent
11100,48375,"Potter County, TX",County or equivalent
11100,48381,"Randall County, TX",County or equivalent
11180,,"Ames, IA",Metropolitan Statistical Area
11180,19015,"Boone County, IA",County or equivalent
11180,19169,"Story County, IA",County or equivalent
11260,,"Anchorage, AK",Metropolitan Statistical Area
11260,2020,"Anchorage Municipality, AK",County or equivalent
11260,2170,"Matanuska-Susitna Borough, AK",County or equivalent
11460,,"Ann Arbor, MI",Metropolitan Statistical Area
11460,26161,"Washtenaw County, MI",County or equivalent
11500,,"Anniston-Oxford, AL",Metropolitan Statistical Area
11500,1015,"Calhoun County, AL",County or equivalent
11540,,"Appleton, WI",Metropolitan Statistical Area
11540,55015,"Calumet County, WI",County or equivalent
11540,55087,"Outagamie County, WI",County or equivalent
11700,,"Asheville, NC",Metropolitan Statistical Area
11700,37021,"Buncombe County, NC",County or equivalent
11700,37087,"Haywood County, NC",County or equivalent
11700,37089,"Henderson County, NC",County or equivalent
11700,37115,"Madison County, NC",County or equivalent
12020,,"Athens-Clarke County, GA",Metropolitan Statistical Area
12020,13059,"Clarke County, GA",County or equivalent
12020,13195,"Madison County, GA",County or equivalent
12020,13219,"Oconee County, GA",County or equivalent
