Birmingham.AL,Anchorage.AK,Phoenix.AZ,Little Rock.AR,Los Angeles.CA,Denver.CO,Bridgeport.CT,Wilmington.DE,Washington.DC,Jacksonville.FL,Atlanta.GA,Honolulu.HI,Boise.ID,Chicago.IL,Indianapolis.IN,Des Moines.IA,Wichita.KS,Louisville.KY,New Orleans.LA,Portland.ME,Baltimore.MD,Boston.MA,Detroit.MI,Minneapolis.MN,Jackson.MS,Kansas City.MO,Billings.MT,Omaha.NE,Las Vegas.NV,Manchester.NH,Newark.NJ,Albuquerque.NM,New York City.NY,Charlotte.NC,Fargo.ND,Columbus.OH,Oklahoma City.OK,Portland.OR,Philadelphia.PA,San Juan.PR,Providence.RI,Charleston.SC,Sioux Falls.SD,Nashville.TN,Houston.TX,Salt Lake City.UT,Burlington.VT,Virginia Beach.VA,Seattle.WA,Charleston.WV,Milwaukee.WI,Cheyenne.WY
0,251643,88168,20264,107594,69707,55665,45767,40071,25764,8240,-1,111423,35319,25300,45783,43524,19251,18231,69239,42007,64032,38451,56714,12591,38911,93086,48654,95943,65952,51413,66009,52362,21576,68841,30120,37584,134818,47500,-1,62224,24902,58067,10080,34942,96326,68623,40112,137293,30569,40370,72784
251643,0,218198,235143,218215,194138,262361,257983,254932,271298,253739,-1,181631,216294,226049,207265,217305,232165,259188,274833,254615,269625,231280,194567,249368,212759,165421,203105,202994,271545,258598,216596,259727,258439,182623,235491,225583,164895,257373,-1,268920,265321,194219,240674,248469,181838,266456,265107,155146,243438,212150,188749
88168,218198,0,69185,20471,46334,133770,126711,122978,105427,95863,-1,51245,93494,90751,77506,57294,91443,79063,147016,123101,141808,106223,90309,76060,67474,67116,71152,17086,143728,129768,23597,130717,109198,91182,100067,51618,72730,126101,-1,140328,112525,79277,87171,60534,36761,141354,125489,78587,104263,97545,51227
20264,235143,69185,0,88129,50644,70174,60276,54580,45624,28099,-1,93162,34466,31105,32530,24059,27810,24655,83748,56515,78540,46577,45333,15527,22667,76842,32410,76478,80460,65922,46544,66871,41435,53727,38679,18119,116557,62008,-1,76732,44762,41823,18772,24516,78065,79963,57091,120504,39128,39255,54937
107594,218215,20471,88129,0,54551,151562,145239,141506,125160,115025,-1,47990,106340,109279,88443,75822,109971,98796,164033,141629,158826,120319,101266,95794,85012,66222,81512,14835,160746,147798,42125,148928,128361,95347,118595,70145,53647,144629,-1,158120,131688,88573,105698,80267,35867,158309,144017,63480,122790,108635,58761
69707,194138,46334,50644,54551,0,98048,93078,89786,91276,73716,-1,44132,52827,57119,34930,26999,58208,70221,110520,89469,105312,66805,47753,64523,31377,29014,27998,40527,107232,94285,23750,95415,83319,47186,66435,35277,67527,92469,-1,104607,90201,35499,60652,55592,29034,104796,94212,71474,71027,55121,5907
55665,262361,133770,70174,151562,98048,0,10828,16985,52787,50645,-1,135000,46700,43881,63756,79481,45072,73530,13911,14539,8704,37039,68427,67891,69225,111577,70757,137875,10624,5023,111292,4639,37746,80622,34022,82903,158395,9252,-1,6909,44377,76859,51723,90242,119903,15873,26332,155784,33157,51770,96361
45767,257983,126711,60276,145239,93078,10828,0,7134,42936,40794,-1,130616,42316,36860,59372,72459,36909,63669,24465,4689,19257,32655,64043,58030,62204,107193,66373,132977,21177,6897,104270,7595,27896,76238,26986,75881,154011,2257,-1,17449,34526,72475,41862,80380,115519,25008,16482,151400,23937,47386,91977
40071,254932,122978,54580,141506,89786,16985,7134,0,36839,34698,-1,127392,39092,33518,56147,69117,33372,57902,30603,3522,25396,29430,60819,52262,58862,103968,63148,129636,27316,13036,100271,13734,21799,73013,23644,71847,150787,8899,-1,23587,28429,69251,36095,74613,112294,31146,11919,148175,20400,44162,88753
25764,271298,105427,45624,125160,91276,52787,42936,36839,0,17982,-1,132685,56258,46239,66721,68852,40190,28223,66495,39414,61288,55516,77652,32356,60188,114348,69916,117842,63208,48928,87907,49626,20056,89780,44038,62913,156080,44791,-1,59479,13482,79328,31158,44944,117588,67038,33035,158555,34743,61309,94046
8240,253739,95863,28099,115025,73716,50645,40794,34698,17982,0,-1,115026,38599,28580,49063,51253,22531,24334,64201,37119,58993,38704,59994,20165,42529,96689,52258,103672,60913,46633,73738,47331,13657,72121,30372,45313,138422,42496,-1,57185,17027,61670,13499,41055,99929,64919,32193,140896,28007,43650,76388
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111423,181631,51245,93162,47990,44132,135000,130616,127392,132685,115026,-1,0,89186,96657,71289,69423,99334,113378,146879,126661,141672,103165,77290,107679,72415,34116,64358,34827,143592,130644,52749,131774,124446,65346,105911,77702,24150,129420,-1,140966,131327,68858,101779,98748,17991,141155,135339,28097,112154,91481,39046
35319,216294,93494,34466,106340,52827,46700,42316,39092,56258,38599,-1,89186,0,10618,18165,38240,16734,48980,59221,39003,54013,15849,22285,39159,27904,65434,25166,92285,55933,42986,71082,44115,43008,34479,20060,42693,112805,41761,-1,53308,49890,30717,25875,58814,74312,53497,49495,109641,28007,5628,50771
25300,226049,90751,31105,109279,57119,43881,36860,33518,46239,28580,-1,96657,10618,0,25826,36361,6615,43262,57133,33219,51926,16196,32260,35627,26106,75409,32828,96879,53846,39886,68172,40835,32890,44454,10185,39783,120361,36219,-1,50446,39771,40260,15757,55282,81868,51472,41317,119616,18132,15584,58327
45783,207265,77506,32530,88443,34930,63756,59372,56147,66721,49063,-1,71289,18165,25826,0,20843,31493,54276,75916,55698,70709,32202,13148,44455,10508,50265,7439,74557,72629,59682,54995,60811,57767,25387,35044,28588,95077,58457,-1,70004,64649,15246,36018,50796,56585,70192,66176,94472,42991,20518,33043
43524,217305,57294,24059,75822,26999,79481,72459,69117,68852,51253,-1,69423,38240,36361,20843,0,37401,45882,92577,68662,87369,51287,33516,39073,10682,54524,16876,64618,89289,75329,34683,76278,61341,38515,45628,8723,93037,71662,-1,85889,67939,26610,38674,31608,54544,86915,73406,96984,50221,40878,31417
19251,232165,91443,27810,109971,58208,45072,36909,33372,40190,22531,-1,99334,16734,6615,31493,37401,0,37119,58487,33146,53280,19873,38343,31023,27344,81170,37073,98118,55200,40956,69011,41905,26911,50538,11541,40621,123236,37290,-1,51766,33793,46151,9614,51937,84744,52825,36506,125377,13321,21667,61202
18231,259188,79063,24655,98796,70221,73530,63669,57902,28223,24334,-1,113378,48980,43262,54276,45882,37119,0,87068,59835,81860,56283,65469,10166,46776,98273,56520,91528,83780,69242,61593,70191,37801,77708,47952,37710,136785,65328,-1,80052,40867,65932,27912,18760,96198,86451,56338,140732,48401,53662,75165
69239,274833,147016,83748,164033,110520,13911,24465,30603,66495,64201,-1,146879,59221,57133,75916,92577,58487,87068,0,28284,6569,44916,80910,81636,82335,124060,83240,150358,5509,18769,124402,18384,51491,93105,47132,96012,170878,22997,-1,9358,58122,89342,65469,103987,132386,14297,40077,168266,46903,64253,108844
42007,254615,123101,56515,141629,89469,14539,4689,3522,39414,37119,-1,126661,39003,33219,55698,68662,33146,59835,28284,0,22874,29125,60514,54188,58557,103663,62843,129330,24794,10514,100623,11212,24142,72708,23338,72234,150482,6377,-1,21066,30772,68946,38021,76539,111989,28624,14263,147870,20095,43857,88448
