AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,255479,89850,26749,116722,80541,62969,50547,45186,31818,16528,-1,120629,39662,33684,51775,56883,27897,23530,82661,46747,69223,51109,71770,9496,36220,110385,66943,118159,72290,56431,66460,57794,31444,88128,38559,43723,133218,54658,-1,67114,21264,72944,15373,44558,97146,76772,36803,140757,40475,51193,90341
255479,0,220437,232522,205527,196545,260741,256640,252279,277222,259093,-1,177159,216554,222868,204773,209345,234541,251244,276651,252467,266740,226383,186681,248184,222579,157046,197258,201916,268352,258088,216114,257075,257923,168607,231985,222931,174689,246501,-1,265734,257666,186418,241601,229961,188379,265681,255946,156716,246502,207165,177585
89850,220437,0,69786,45071,44583,134005,126982,122181,117131,103673,-1,62084,85489,91967,79055,57172,95809,75323,154217,122809,140778,105839,95989,80354,71447,75567,60965,48790,142453,128671,27335,129920,114793,85826,101459,50820,70433,119764,-1,138998,106442,72051,88549,49156,36572,143517,114996,85379,109183,96871,58301
26749,232522,69786,0,97032,57186,72140,60362,54759,54379,36251,-1,97440,26245,31621,34817,32892,30724,22067,91925,56562,78487,45752,54140,19807,16201,87780,44339,98469,81218,65660,47457,67050,47371,66257,40175,19492,110029,58529,-1,76378,39020,50339,21127,31045,75980,82281,47574,118153,44203,40289,67736
116722,205527,45071,97032,0,64475,160247,153961,149159,145405,130651,-1,52119,110815,118946,98470,82304,122788,102301,177046,149788,166246,127772,109334,107332,98425,74554,78527,38240,167859,155650,54402,156581,141771,94515,128437,77798,38579,146007,-1,165240,133420,88187,115528,76683,42415,166076,141974,57238,136161,116286,63471
80541,196545,44583,57186,64475,0,104051,99239,94878,104944,86815,-1,52030,54619,64224,42273,26107,68463,66499,120849,95066,110050,71575,57820,71530,48853,45005,22330,55207,111662,100928,27300,100384,93257,45997,73715,40369,64619,89810,-1,109043,89608,33417,69324,43713,26967,109879,91280,75378,81836,60089,22556
62969,260741,134005,72140,160247,104051,0,16138,18898,66808,54393,-1,138664,54395,44936,63667,81998,44228,81059,21105,17251,7667,45449,78008,67026,63288,119450,84621,148372,10734,10993,111591,6552,33895,94366,33536,83661,151252,15816,-1,6792,44450,86033,55640,100084,122962,15114,29094,153705,33325,57050,108375
50547,256640,126982,60362,153961,99239,16138,0,6375,54277,41863,-1,134768,48359,38988,59771,75348,34244,69350,35872,5090,22434,44383,74113,55316,56637,115554,80726,144476,25501,9642,104940,11005,21364,90470,29782,77011,147357,16089,-1,20325,31919,82137,43930,88374,118436,29983,16564,149810,23341,53154,104479
45186,252279,122181,54759,149159,94878,18898,6375,0,48947,36533,-1,130296,43887,34516,55300,70876,29772,63732,38601,2728,25163,39912,69641,49699,52165,111083,76254,140005,28230,12371,99811,13734,16034,85999,25310,71847,142885,14396,-1,23054,26589,77665,38313,82757,113964,32712,11234,145338,18870,48683,100008
31818,277222,117131,54379,145405,104944,66808,54277,48947,0,21885,-1,144060,62769,56791,74882,80672,45738,44603,86480,50567,73042,74216,94877,39448,61561,133815,90373,146946,76109,60250,95247,61613,36212,111235,58050,71383,156649,61749,-1,70933,27069,96374,39176,73345,123760,80591,44655,164188,50482,74300,113771
16528,259093,103673,36251,130651,86815,54393,41863,36533,21885,0,-1,126173,44883,38904,56995,62786,27851,37938,74187,38273,60749,56330,76991,25785,43675,115929,72487,132473,63815,47957,81461,49319,23918,93349,40752,53496,138762,48485,-1,58640,11742,78488,21289,60846,105874,68297,29680,146301,35224,56413,95885
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
120629,177159,62084,97440,52119,52030,138664,134768,130296,144060,126173,-1,0,89034,100431,76688,66431,107523,108347,155265,130192,144465,105990,70257,113519,87913,35249,56745,35514,146077,135812,60448,134800,132317,55438,109710,80727,26022,124225,-1,143459,128668,59160,108384,82729,30295,144294,130340,36895,120897,90327,33962
39662,216554,85489,26245,110815,54619,54395,48359,43887,62769,44883,-1,89034,0,12025,14305,32512,22051,45999,71243,44113,60443,21968,34386,35806,14960,75828,35260,99011,62055,49975,63264,50778,45658,50744,22763,35334,101891,40204,-1,59437,45176,38162,27406,52669,73601,60273,43681,105976,34238,15102,59014
33684,222868,91967,31621,118946,64224,44936,38988,34516,56791,38904,-1,100431,12025,0,25776,40100,13337,49269,64762,35000,51324,17648,40527,37134,21389,81969,46730,110481,52936,40862,69692,41558,36545,56885,13650,41763,113361,30984,-1,50217,36462,48551,21411,59098,83188,54000,34568,116224,25125,19550,70484
51775,204773,79055,34817,98470,42273,63667,59771,55300,74882,56995,-1,76688,14305,25776,0,24668,35766,53639,80521,55448,69721,31246,22214,45700,20035,62596,22839,86590,71333,61069,56790,60056,59374,38572,34966,30843,89470,49482,-1,68715,58891,25155,39373,48177,61180,69551,57396,92968,47953,18550,46593
56883,209345,57172,32892,82304,26107,81998,75348,70876,80672,62786,-1,66431,32512,40100,24668,0,44383,45308,102393,70986,88955,52794,41677,49229,24773,58788,13770,73345,90629,76848,35416,78096,69177,42170,49635,16289,79216,67941,-1,87174,65528,24506,45244,33624,45104,91693,67200,89160,57756,42615,36339
27897,234541,95809,30724,122788,68463,44228,34244,29772,45738,27851,-1,107523,22051,13337,35766,44383,0,45724,64061,29927,50622,29707,52093,31690,25284,93535,54096,115723,53689,38308,73587,39185,26735,68451,13675,45658,120371,30645,-1,48513,23963,59654,16885,59701,87483,55782,24758,127468,15314,31117,77494
23530,251244,75323,22067,102301,66499,81059,69350,63732,44603,37938,-1,108347,45999,49269,53639,45308,45724,0,100995,65633,87557,63516,73066,14627,37256,101258,58030,104134,90623,74730,52435,76120,52501,85183,55701,29698,120871,72482,-1,85448,42582,67795,32833,30533,83121,95105,56644,131630,58298,60043,78809
82661,276651,154217,91925,177046,120849,21105,35872,38601,86480,74187,-1,155265,71243,64762,80521,102393,64061,100995,0,36941,14868,58486,91852,86930,83496,136429,101707,165458,14307,30683,131799,26241,53584,111345,53745,103870,168338,36024,-1,18274,64140,103620,75544,119989,140048,18181,48784,170685,53229,73696,125461
46747,252467,122809,56562,149788,95066,17251,5090,2728,50567,38273,-1,130192,44113,35000,55448,70986,29927,65633,36941,0,23404,40196,69925,51607,52449,111367,76538,140289,26471,10612,100753,11974,17655,86283,25595,72823,143169,12803,-1,21295,28210,77950,40221,84665,114248,30952,12854,145622,19154,48967,100292
69223,266740,140778,78487,166246,110050,7667,22434,25163,73042,60749,-1,144465,60443,51324,69721,88955,50622,87557,14868,23404,0,47988,84241,73582,70148,125683,90854,154605,4788,17334,118451,12893,40236,100599,40396,90522,157485,22676,-1,4995,50791,92266,62196,106640,129195,12782,35435,159938,39881,63283,114608
51109,226383,105839,45752,127772,71575,45449,44383,39912,74216,56330,-1,105990,21968,17648,31246,52794,29707,63516,58486,40196,47988,0,43666,53289,35358,85107,52249,115999,49177,45770,83661,44757,48016,60023,19732,55732,118880,34183,-1,48593,51824,52677,38806,73067,90589,47222,46039,119363,36461,22763,76002
