hosp_id,hosp_name,date,active_confirmed,active_suspected,admitted,admitted_confirmed,admitted_suspected,alos_ventilator,bed_avail_criticalcare,bed_avail_intensivecare,bed_avail_other,bed_avail_surgical,bed_inuse_criticalcare,bed_inuse_intensivecare,bed_inuse_other,bed_inuse_surgical,discharged_alive,discharged_dead,ventilators_inuse
ATL,AtlantiCare - Central Supply,2020-04-04,,,0,,,,,,,,,,,,,,
3100642,AtlantiCare Regional Medical Center City Division,2020-04-04,12,13,1,,,6.0,11,0,19,59,6,0,0,19,,,4
3100641,AtlantiCare Regional Medical Center Mainland Division,2020-04-04,16,11,1,,,4.0,8,0,0,108,7,0,0,20,,,8
FMSAtlanic,Atlantic City FMS,2020-04-04,,,0,,,,,,,,,,,,,,
AHS,Atlantic Health System - Central Supply,2020-04-04,,,0,,,,,,,,,,,,,,
3100580,Bergen New Bridge Medical Center,2020-04-04,28,5,0,,,0.0,0,7,0,63,0,7,0,26,,,7
3100110,Cape Regional Health System,2020-04-04,9,17,0,,,3.8,0,3,0,6,0,6,0,20,,,5
CHS,Capital Health - Central Supply,2020-04-04,,,0,,,,,,,,,,,,,,
3100440,Capital Health Medical Center - Hopewell,2020-04-04,24,11,0,,,8.1,,24,62,124,,14,,21,,,9
3100920,Capital Health Regional Medical Center,2020-04-04,22,16,4,,,,,40,25,104,,17,,21,,,14
3100250,CarePoint Health Bayonne Medical Center,2020-04-04,38,26,0,,,4.0,0,0,0,0,0,14,,0,,,14
3100160,CarePoint Health Christ Hospital,2020-04-04,86,20,0,,,4.0,6,0,0,0,0,9,0,14,,,34
3100400,CarePoint Health Hoboken University Medical Center,2020-04-04,64,26,2,,,3.0,0,0,0,0,,15,0,20,,,19
4PPECPH,CarePoint Heatlh - Central Supply,2020-04-04,,,0,,,,,,,,,,,,,,
4PPECSHS,CentraState Healthcare System - Central Supply,2020-04-04,,,0,,,,,,,,,,,,,,
3101110,CentraState Medical Center,2020-04-04,89,6,5,,,5.4,1,0,7,63,14,8,0,73,,,22
3100170,Chilton Medical Center - Atlantic Health System,2020-04-04,62,31,11,,,4.0,0,0,0,65,0,11,2,80,,,22
3100090,Clara Maass Medical Center,2020-04-04,149,21,1,,,,0,0,13,11,23,,,152,,,29
3100410,Community Medical Center,2020-04-04,79,19,13,,,,,12,37,17,16,,,85,,,30
4PPECHS,"Cooper Health System, The - Central Supply",2020-04-04,,,0,,,,,,,,,,,,,,
3100140,Cooper University Health Care,2020-04-04,33,14,0,,,6.58,,6,,252,,18,,29,,,14
3100310,Deborah Heart and Lung Center,2020-04-04,1,5,2,,,12.0,3,2,4,34,2,0,0,4,,,1
ACS-EO,East Orange ACS,2020-04-04,,,0,,,,,,,,,,,,,,
3100830,East Orange General Hospital,2020-04-04,30,26,6,,,7.3,0,0,0,0,0,16,0,40,,,19
FMSEdison,Edison FMS,2020-04-04,,,0,,,,,,,,,,,,,,
3100450,Englewood Hospital,2020-04-04,141,56,0,,,4.6,,5,,15,,38,21,138,,,38
HMH,Hackensack Meridian Health - Central Supply,2020-04-04,,,0,,,,,,,,,,,,,,
3101120,Hackensack Meridian Health Bayshore Medical Center,2020-04-04,41,22,12,,,13.75,3,,13,35,14,0,41,10,,,8
3100010,Hackensack Meridian Health Hackensack University Medical Center,2020-04-04,386,29,6,,,11.18,,,,,118,0,41,190,,,107
3101080,Hackensack Meridian Health JFK Medical Center,2020-04-04,109,71,4,,,6.92,0,0,32,39,40,0,3,145,,,38
3100730,Hackensack Meridian Health Jersey Shore University Medical Center,2020-04-04,137,41,0,,,8.67,12,0,87,17,53,,1,121,,,52
3100540,Hackensack Meridian Health Mountainside Medical Center,2020-04-04,91,48,0,,,,,0,,53,,37,,113,,,29
3100522,Hackensack Meridian Health Ocean Medical Center,2020-04-04,76,26,5,,,9.03,3,0,23,21,34,0,0,73,,,32
3100030,Hackensack Meridian Health Palisades Medical Center,2020-04-04,74,50,5,,,9.71,6,0,17,1,35,0,17,88,,,24
3101300,Hackensack Meridian Health Pascack Valley Medical Center,2020-04-04,,,0,,,,,9,,5,,,,,,,
3100392,Hackensack Meridian Health Raritan Bay Medical Center Old Bridge,2020-04-04,48,15,0,,,9.83,0,0,5,1,18,0,0,68,,,12
3100391,Hackensack Meridian Health Raritan Bay Medical Center Perth Amboy,2020-04-04,56,19,0,,,8.82,1,0,17,17,18,0,0,68,,,17
3100340,Hackensack Meridian Health Riverview Medical Center,2020-04-04,42,6,0,,,15.6,0,0,30,11,1,0,0,11,,,5
3101130,Hackensack Meridian Health Southern Ocean Medical Center,2020-04-04,24,9,0,,,11.58,10,0,15,17,12,0,0,16,,,12
3101150,Hackettstown Medical Center,2020-04-04,18,7,0,,,13.0,4,3,0,66,4,13,0,8,,,11
3100080,Holy Name Medical Center,2020-04-04,114,70,0,,,,,,,,,,,,,,
3101189,Hudson Regional Hospital,2020-04-04,,,0,,,,,,,,,,,,,,
ACS-Hunterd,Hunterdon ACS,2020-04-04,,,0,,,,,,,,,,,,,,
4PPEHHS,Hunterdon Healthcare System - Central Supply,2020-04-04,,,0,,,,,,,,,,,,,,
3100050,Hunterdon Medical Center,2020-04-04,26,24,3,,,8.1,4,0,32,60,4,10,0,36,,,12
IMC,Inspira Health - Central Supply,2020-04-04,,,0,,,,,,,,,,,,,,
