tsa_id,tsa_name,date,patients_covid_total,patients_covid_ward,patients_covid_icu,beds_avail_total,beds_avail_icu,patients_all_total,patients_all_icu
A,Amarillo,2020-04-12,17.0,13.0,4.0,613.0,77.0,417.0,
A,Amarillo,2020-04-13,17.0,12.0,5.0,251.0,78.0,427.0,
A,Amarillo,2020-04-14,17.0,12.0,5.0,571.0,67.0,461.0,
A,Amarillo,2020-04-15,40.0,38.0,2.0,519.0,54.0,322.0,
A,Amarillo,2020-04-16,18.0,12.0,6.0,668.0,92.0,522.0,
A,Amarillo,2020-04-17,24.0,15.0,9.0,645.0,89.0,553.0,
A,Amarillo,2020-04-18,18.0,13.0,5.0,638.0,83.0,545.0,
A,Amarillo,2020-04-19,35.0,25.0,10.0,548.0,57.0,535.0,
A,Amarillo,2020-04-20,17.0,11.0,6.0,572.0,67.0,286.0,
A,Amarillo,2020-04-21,17.0,11.0,6.0,572.0,67.0,286.0,
A,Amarillo,2020-04-22,41.0,20.0,21.0,527.0,48.0,557.0,
A,Amarillo,2020-04-23,41.0,20.0,21.0,504.0,46.0,607.0,106.0
A,Amarillo,2020-04-24,40.0,23.0,17.0,534.0,41.0,658.0,129.0
A,Amarillo,2020-04-25,46.0,27.0,19.0,479.0,37.0,647.0,123.0
A,Amarillo,2020-04-26,59.0,33.0,26.0,462.0,34.0,648.0,126.0
A,Amarillo,2020-04-27,64.0,35.0,29.0,468.0,39.0,660.0,118.0
A,Amarillo,2020-04-28,67.0,33.0,34.0,432.0,39.0,669.0,121.0
A,Amarillo,2020-04-29,82.0,43.0,39.0,434.0,28.0,630.0,131.0
A,Amarillo,2020-04-30,84.0,47.0,37.0,586.0,76.0,594.0,123.0
A,Amarillo,2020-05-01,87.0,50.0,37.0,582.0,74.0,605.0,113.0
A,Amarillo,2020-05-02,91.0,51.0,40.0,477.0,48.0,602.0,112.0
A,Amarillo,2020-05-03,101.0,54.0,47.0,468.0,31.0,566.0,118.0
A,Amarillo,2020-05-04,94.0,50.0,44.0,466.0,42.0,571.0,107.0
A,Amarillo,2020-05-05,90.0,49.0,41.0,475.0,30.0,595.0,130.0
A,Amarillo,2020-05-06,96.0,56.0,40.0,464.0,36.0,611.0,117.0
A,Amarillo,2020-05-07,109.0,58.0,51.0,532.0,38.0,609.0,115.0
A,Amarillo,2020-05-08,112.0,64.0,48.0,507.0,36.0,661.0,116.0
A,Amarillo,2020-05-09,109.0,63.0,46.0,508.0,32.0,659.0,130.0
A,Amarillo,2020-05-10,103.0,60.0,43.0,481.0,38.0,853.0,117.0
A,Amarillo,2020-05-11,98.0,55.0,43.0,478.0,40.0,792.0,116.0
A,Amarillo,2020-05-12,94.0,51.0,43.0,495.0,43.0,583.0,111.0
A,Amarillo,2020-05-13,82.0,46.0,36.0,482.0,40.0,605.0,114.0
A,Amarillo,2020-05-14,84.0,49.0,35.0,455.0,45.0,649.0,112.0
A,Amarillo,2020-05-15,79.0,48.0,31.0,526.0,45.0,649.0,108.0
A,Amarillo,2020-05-16,80.0,47.0,33.0,516.0,47.0,653.0,109.0
A,Amarillo,2020-05-17,72.0,42.0,30.0,511.0,41.0,654.0,108.0
A,Amarillo,2020-05-18,68.0,44.0,24.0,455.0,52.0,620.0,101.0
A,Amarillo,2020-05-19,70.0,48.0,22.0,457.0,51.0,619.0,101.0
A,Amarillo,2020-05-20,75.0,54.0,21.0,423.0,48.0,643.0,110.0
A,Amarillo,2020-05-21,63.0,37.0,26.0,487.0,48.0,671.0,103.0
A,Amarillo,2020-05-22,53.0,32.0,21.0,486.0,45.0,659.0,110.0
A,Amarillo,2020-05-23,55.0,35.0,20.0,450.0,43.0,664.0,113.0
A,Amarillo,2020-05-24,55.0,33.0,22.0,476.0,49.0,612.0,107.0
A,Amarillo,2020-05-25,55.0,34.0,21.0,483.0,45.0,590.0,104.0
A,Amarillo,2020-05-26,61.0,38.0,23.0,479.0,39.0,590.0,108.0
A,Amarillo,2020-05-27,59.0,38.0,21.0,474.0,43.0,612.0,108.0
A,Amarillo,2020-05-28,63.0,35.0,28.0,495.0,33.0,665.0,118.0
