area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly,title,category,county_code,div_code,county_name,population
10180,"Abilene, TX",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1630,12.1,24.463,1.2,,31.8,66140,2,25.23,27.54,31.1,36.03,40.92,52490,57270,64700,74950,85120,,,"Abilene, TX",Metropolitan,"['48059', '48253', '48441']","[None, None, None]","['      Callahan County, TX', '      Jones County, TX', '      Taylor County, TX']","[13943, 20083, 138034]"
10380,"Aguadilla-Isabela, PR",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,650,5.2,14.236,0.7,,14.03,29170,2,10.46,12.52,13.89,15.37,18.27,21760,26040,28890,31960,37990,,,"Aguadilla-Isabela, PR",Metropolitan,"['72003', '72005', '72011', '72071', '72081', '72099', '72117', '72131']","[None, None, None, None, None, None, None, None]","['      Aguada Municipio, PR', '      Aguadilla Municipio, PR', '      Aasco Municipio, PR', '      Isabela Municipio, PR', '      Lares Municipio, PR', '      Moca Municipio, PR', '      Rincn Municipio, PR', '      San Sebastin Municipio, PR']",[]
10420,"Akron, OH",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,8490,12.8,25.769,1.27,,32.57,67740,1.3,25.55,28.35,32.7,36.67,39.19,53150,58970,68020,76270,81510,,,"Akron, OH",Metropolitan,"['39133', '39153']","[None, None]","['      Portage County, OH', '      Summit County, OH']","[162466, 541013]"
10540,"Albany, OR",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,590,43.5,13.069,0.64,,38.7,80490,4.8,32.48,34.35,37.47,40.68,50.25,67560,71460,77940,84610,104530,,,"Albany, OR",Metropolitan,,,,
10580,"Albany-Schenectady-Troy, NY",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,10010,2.4,22.109,1.09,,34.54,71830,1,25.85,29.05,34.19,39.38,46.08,53770,60420,71110,81900,95850,,,"Albany-Schenectady-Troy, NY",Metropolitan,"['36001', '36083', '36091', '36093', '36095']","[None, None, None, None, None]","['      Albany County, NY', '      Rensselaer County, NY', '      Saratoga County, NY', '      Schenectady County, NY', '      Schoharie County, NY']","[305506, 158714, 229863, 155299, 30999]"
10740,"Albuquerque, NM",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,10160,2.5,25.902,1.28,,36.08,75050,1.8,26.98,31.7,36.03,40.53,46.66,56110,65940,74950,84300,97050,,,"Albuquerque, NM",Metropolitan,"['35001', '35043', '35057', '35061']","[None, None, None, None]","['      Bernalillo County, NM', '      Sandoval County, NM', '      Torrance County, NM', '      Valencia County, NM']","[679121, 146748, 15461, 76688]"
10780,"Alexandria, LA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1870,12.1,30.999,1.53,,32.05,66670,1.7,25.08,27.42,31.16,36.38,40.05,52170,57040,64810,75670,83300,,,"Alexandria, LA",Metropolitan,"['22043', '22079']","[None, None]","['      Grant Parish, LA', '      Rapides Parish, LA']",[]
10900,"Allentown-Bethlehem-Easton, PA-NJ",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,9750,5.8,26.656,1.31,,33.22,69100,2.5,25.2,28.35,33.28,37.93,43.23,52420,58960,69230,78900,89930,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan,"['34041', '42025', '42077', '42095']","[None, None, None, None]","['      Warren County, NJ', '      Carbon County, PA', '      Lehigh County, PA', '      Northampton County, PA']","[105267, 64182, 369318, 305285]"
11020,"Altoona, PA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1850,7.6,31.613,1.56,,32.48,67570,2.4,25.06,27.61,31.72,36.81,40.47,52130,57440,65980,76560,84170,,,"Altoona, PA",Metropolitan,['42013'],[None],"['      Blair County, PA']",[121829]
11100,"Amarillo, TX",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,2620,5.5,22.585,1.11,,32.48,67560,3.1,23.32,27.11,31.93,37.47,41.78,48510,56390,66420,77940,86910,,,"Amarillo, TX",Metropolitan,"['48011', '48065', '48375', '48381']","[None, None, None, None]","['      Armstrong County, TX', '      Carson County, TX', '      Potter County, TX', '      Randall County, TX']","[1887, 5926, 117415, 137713]"
